iter	Passed	Remaining
0	0	313
1	0	288
2	0	292
3	1	276
4	1	265
5	1	258
6	1	249
7	1	244
8	2	239
9	2	236
10	2	234
11	2	231
12	3	228
13	3	226
14	3	226
15	3	224
16	3	222
17	4	221
18	4	219
19	4	219
20	4	217
21	4	217
22	5	216
23	5	215
24	5	214
25	5	213
26	5	212
27	6	212
28	6	211
29	6	211
30	6	210
31	6	211
32	7	214
33	7	215
34	7	217
35	8	216
36	8	216
37	8	217
38	8	217
39	9	217
40	9	217
41	9	217
42	9	217
43	10	217
44	10	217
45	10	217
46	10	217
47	11	220
48	11	220
49	11	221
50	11	221
51	12	221
52	12	222
53	12	222
54	12	222
55	13	221
56	13	221
57	13	221
58	13	221
59	14	222
60	14	221
61	14	222
62	14	222
63	15	222
64	15	224
65	15	224
66	16	224
67	16	224
68	16	224
69	16	224
70	17	224
71	17	224
72	17	224
73	17	223
74	18	223
75	18	223
76	18	223
77	18	223
78	19	223
79	19	223
80	19	223
81	19	223
82	20	221
83	20	221
84	20	221
85	20	221
86	21	221
87	21	221
88	21	221
89	21	221
90	22	221
91	22	221
92	22	220
93	22	220
94	23	220
95	23	220
96	23	220
97	23	220
98	24	220
99	24	220
100	24	220
101	25	220
102	25	220
103	25	220
104	25	220
105	26	220
106	26	219
107	26	219
108	26	219
109	27	219
110	27	219
111	27	219
112	27	219
113	28	218
114	28	218
115	28	218
116	28	217
117	29	217
118	29	217
119	29	217
120	29	216
121	30	216
122	30	215
123	30	215
124	30	215
125	30	214
126	31	214
127	31	213
128	31	213
129	31	213
130	32	212
131	32	212
132	32	212
133	32	212
134	33	211
135	33	211
136	33	211
137	33	210
138	33	210
139	34	210
140	34	209
141	34	208
142	34	208
143	34	208
144	35	207
145	35	207
146	35	207
147	35	206
148	36	206
149	36	205
150	36	205
151	36	205
152	36	204
153	37	204
154	37	203
155	37	203
156	37	203
157	38	202
158	38	202
159	38	202
160	38	201
161	38	200
162	39	200
163	39	200
164	39	199
165	39	199
166	39	199
167	40	198
168	40	198
169	40	198
170	40	198
171	41	197
172	41	197
173	41	197
174	41	196
175	41	196
176	42	196
177	42	195
178	42	195
179	42	194
180	42	194
181	43	194
182	43	193
183	43	193
184	43	193
185	44	192
186	44	192
187	44	191
188	44	191
189	44	191
190	45	190
191	45	190
192	45	190
193	45	189
194	45	189
195	46	189
196	46	188
197	46	188
